Address,PriceInAscendingOrder,LandArea,FloorArea,PropertyLinks,Timestamp
"['Lot 93 MAB Circuit', ',', 'Tonsley, SA 5042']",['Contact Agent'],['0.43 ha (1.06 acres)'],['4299 m²'],https://www.realcommercial.com.au/for-sale/property-lot-93-mab-circuit-tonsley-sa-5042-503701766,2022-01-29 02:09:34.670074
"['W/House 1 & 2, 23 Staite Street', ',', 'Wingfield, SA 5013']",['Contact Agent'],['980 m²'],['503 m²'],https://www.realcommercial.com.au/for-sale/property-w-house-1-2-23-staite-street-wingfield-sa-5013-503927722,2022-01-29 02:09:34.670074
"['Northern Express Logistics (NXL) Lot 3 & 318 Womma Road', ',', 'Edinburgh North, SA 5113']",['Please contact agent'],['16.5 ha (40.77 acres)'],['11500 - 14450 m²'],https://www.realcommercial.com.au/for-sale/property-northern-express-logistics-nxl-lot-3-318-womma-road-edinburgh-north-sa-5113-503947954,2022-01-29 02:09:34.670074
"['10-18 Wandearah Road', ',', 'Port Pirie, SA 5540']",['Contact Agent'],['1.11 ha (2.75 acres)'],['1300 m²'],https://www.realcommercial.com.au/for-sale/property-10-18-wandearah-road-port-pirie-sa-5540-503798762,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lots 3-10, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['2 ha (4.95 acres)'],['20029 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lots-3-10-bowers-court-whyalla-sa-5600-501553171,2022-01-29 02:09:34.670074
"['6 Virginia Road', ',', 'Newton, SA 5074']",['Contact Agent'],[],[],https://www.realcommercial.com.au/for-sale/property-6-virginia-road-newton-sa-5074-503953678,2022-01-29 02:09:34.670074
"['22 Famechon Crescent', ',', 'Modbury North, SA 5092']","['$1,500,000.00']",['569 m²'],['Whole'],https://www.realcommercial.com.au/for-sale/property-22-famechon-crescent-modbury-north-sa-5092-503896862,2022-01-29 02:09:34.670074
"['Lot 24 Pellew Road', ',', 'Penfield, SA 5121']",['Price Upon Application'],['8.09 ha (19.99 acres)'],['80900 m²'],https://www.realcommercial.com.au/for-sale/property-lot-24-pellew-road-penfield-sa-5121-500613767,2022-01-29 02:09:34.670074
"['33 Farrow Circuit', ',', 'Seaford, SA 5169']",['SOLD by Derek Blacker!! More properties Wanted'],['1800 m²'],['812 m²'],https://www.realcommercial.com.au/for-sale/property-33-farrow-circuit-seaford-sa-5169-503946342,2022-01-29 02:09:34.670074
"['Lot 333 MAB Circuit', ',', 'Tonsley, SA 5042']",['Contact Agent'],['0.52 ha (1.28 acres)'],['5166 m²'],https://www.realcommercial.com.au/for-sale/property-lot-333-mab-circuit-tonsley-sa-5042-503701762,2022-01-29 02:09:34.670074
"['Address available on request', ',', 'Smithfield, SA 5114']","['$1,700,000']",['1000 m²'],['Whole'],https://www.realcommercial.com.au/for-sale/property-smithfield-sa-5114-503865810,2022-01-29 02:09:34.670074
"['7-13 Barlow Street', ',', 'Port Adelaide, SA 5015']","['Auction On Site, Friday 18th February at 12.30pm']",['1805 m²'],['1580 m²'],https://www.realcommercial.com.au/for-sale/property-7-13-barlow-street-port-adelaide-sa-5015-503983858,2022-01-29 02:09:34.670074
"['95 - 101 Verran Terrace', ',', 'Port Lincoln, SA 5606']","['$1,800,000']",['0.81 ha (2.01 acres)'],['1212 m²'],https://www.realcommercial.com.au/for-sale/property-95-101-verran-terrace-port-lincoln-sa-5606-5758079,2022-01-29 02:09:34.670074
"['2 Augusta Highway', ',', 'Port Augusta, SA 5700']",['Contact Agent'],['0.86 ha (2.12 acres)'],['8571 m²'],https://www.realcommercial.com.au/for-sale/property-2-augusta-highway-port-augusta-sa-5700-503914358,2022-01-29 02:09:34.670074
"['30 Beulah Road', ',', 'Norwood, SA 5067']",['Auction Fri 25/02/22 at 12pm'],['644 m²'],['403 m²'],https://www.realcommercial.com.au/for-sale/property-30-beulah-road-norwood-sa-5067-503988242,2022-01-29 02:09:34.670074
